Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202500924,21/11/2025,9022,De Bull,De Bull,"Horeca, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",6,Hoop US Lager,120.0
202500924,21/11/2025,9022,De Bull,De Bull,"Horeca, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202500928,21/11/2025,160,Lab-44,Lab-44,Eigen groep,Dennis de Leeuw,Nederland,Zaandam,Korting 20%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",3,Hoop US Lager,60.0
202500928,21/11/2025,160,Lab-44,Lab-44,Eigen groep,Dennis de Leeuw,Nederland,Zaandam,Korting 20%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",2,Hoop Bleke Nelis,40.0
202500929,20/11/2025,596,De Bierbroeders,De Bierbroeders,Retail,Dennis de Leeuw,Nederland,Bovenkarspel,Korting 20%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202500929,20/11/2025,596,De Bierbroeders,De Bierbroeders,Retail,Dennis de Leeuw,Nederland,Bovenkarspel,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500929,20/11/2025,596,De Bierbroeders,De Bierbroeders,Retail,Dennis de Leeuw,Nederland,Bovenkarspel,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Kaper Tropical - Summer Session IPA,3.96
202500933,26/11/2025,586,Westzaanse zuivelboerderij,Westzaanse zuivelboerderij,"Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,Westzaan,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500934,26/11/2025,491,Koog Supermarkten BV,Koog Supermarkten BV,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,Haarlem,Korting 20%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,1,Hoop Bleke Nelis,1.65
202500934,26/11/2025,491,Koog Supermarkten BV,Koog Supermarkten BV,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,Haarlem,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500936,26/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",5,Hoop US Lager,100.0
