date,temp_mean,rain_mm
2024-07-30,21.9,0.0
2024-07-31,20.7,0.0
2024-08-01,19.4,0.2
2024-08-02,19.1,0.6
2024-08-03,19.9,1.9
2024-08-04,17.2,0.0
2024-08-05,18.2,0.0
2024-08-06,20.6,0.0
2024-08-07,19.1,0.7
2024-08-08,19.6,0.3
2024-08-09,19.8,5.8
2024-08-10,18.8,0.0
2024-08-11,20.6,0.0
2024-08-12,22.7,0.0
2024-08-13,23.0,0.0
2024-08-14,20.2,4.0
2024-08-15,20.0,0.2
2024-08-16,20.1,11.9
2024-08-17,18.2,0.0
2024-08-18,17.5,0.0
2024-08-19,17.8,0.0
2024-08-20,18.3,14.6
2024-08-21,16.4,0.0
2024-08-22,18.1,0.6
2024-08-23,19.5,1.9
2024-08-24,18.4,7.2
2024-08-25,16.4,1.7
2024-08-26,16.8,1.3
2024-08-27,17.7,0.0
2024-08-28,19.9,0.0
2024-08-29,19.2,0.0
2024-08-30,16.8,0.0
2024-08-31,17.9,0.0
2024-09-01,21.1,1.3
2024-09-02,22.0,1.3
2024-09-03,19.4,4.0
2024-09-04,18.0,3.3
2024-09-05,21.1,0.0
2024-09-06,21.9,7.0
2024-09-07,20.1,0.0
2024-09-08,19.2,0.7
2024-09-09,16.3,1.8
2024-09-10,15.4,10.8
2024-09-11,11.3,19.4
2024-09-12,10.2,1.4
2024-09-13,11.5,0.0
2024-09-14,12.2,0.0
2024-09-15,13.4,0.0
2024-09-16,14.9,0.5
2024-09-17,15.5,0.0
2024-09-18,16.7,0.0
2024-09-19,17.3,0.0
2024-09-20,17.5,0.0
2024-09-21,17.2,0.0
2024-09-22,17.5,0.6
2024-09-23,16.8,2.3
2024-09-24,14.5,2.2
2024-09-25,13.9,7.6
2024-09-26,15.1,17.6
2024-09-27,12.3,15.2
2024-09-28,10.8,3.0
2024-09-29,10.1,0.0
2024-09-30,11.3,13.7
2024-10-01,13.4,20.6
2024-10-02,12.0,4.9
2024-10-03,10.3,0.0
2024-10-04,8.9,0.0
2024-10-05,8.9,0.0
2024-10-06,10.3,0.0
2024-10-07,14.4,2.8
2024-10-08,14.9,1.7
2024-10-09,13.4,1.4
2024-10-10,11.8,1.6
2024-10-11,8.9,0.0
2024-10-12,8.6,1.9
2024-10-13,10.6,2.1
2024-10-14,8.0,0.1
2024-10-15,9.1,0.0
2024-10-16,15.2,0.0
2024-10-17,15.9,0.5
2024-10-18,14.9,0.6
2024-10-19,14.3,3.2
